"","items","prices","soldwhen"
"112","A.J. AJ PUK 2016 BOWMAN CHROME DRAFT GREEN REFRACTOR ROOKIE AUTO #/99","$68.00","Feb-11 19:00"
"113","2016 Bowman Draft Chrome Hudson Potts RC AUTO Padres!!","$1.76","Feb-11 19:00"
"114","2016 Bowman Chrome Draft Robert Tyler Auto Purple Refractor /250","$2.60","Feb-11 19:00"
"115","Dane Dunning 2016 Bowman Chrome Gold Wave Refractor Auto 50/50 Nationals","$27.00","Feb-11 19:00"
"116","2016 Bowman Draft Chrome Riley Pint Auto Autograph Refractor /499 Ref","$12.50","Feb-11 19:00"
"117","A.J. PUK 2016 BOWMAN CHROME 1ST AUTOGRAPH AUTO ROOKIE RC OAKLAND A'S","$12.50","Feb-11 19:00"
"118","2016 Bowman Chrome Draft Riley Pint Purple Refractor Autograph /250","$24.50","Feb-11 19:00"
"119","2016 Bowman Chrome Draft Riley Pint Auto Under Armour All-American 085/225","$12.50","Feb-11 19:00"
"120","2016 Bowman Chrome Dane Dunning Nationals Rookie Gold Refractor Auto 39/50","$26.00","Feb-11 19:00"
"121","Dane Dunning 2016 Bowman Chrome Draft Blue Refractor Auto 007/150 Nationals","$8.61","Feb-11 19:00"
"122","Kyle Schwarber 2016 Bowman Chrome Prime Positions RC Auto /250","$37.01","Feb-11 18:59"
"123","2016 BOWMAN CHROME - PROSPECT - GREEN REFRACTOR - HUNTER RENFROE /250","$3.00","Feb-11 18:59"
"124","2016 BOWMAN CHROME - TOP 100 UPDATES - GOLD REFRACTOR - REYNALDO LOPEZ /50","$6.00","Feb-11 18:59"
"125","2016 BOWMAN CHROME DRAFT - GREEN REFRACTOR - PROSPECT - BRENDAN RODGERS /99","$8.00","Feb-11 18:59"
"126","2016 Bowman Chrome Baseball Scouts' Update Refractor Auto Taylor Ward RC /199","$4.95","Feb-11 18:58"
"127","ALEX KIRILLOFF 2016 BOWMAN CHROME DRAFT AUTO TWINS AUTOGRAPH 1st CARD ROOKIE RC","$30.52","Feb-11 18:57"
"128","Yadier Alvarez 2016 Bowman Chrome Auto","$31.00","Feb-11 18:55"
"129","Willie Calhoun 2016 Bowman Chrome Auto","$16.50","Feb-11 18:55"
"130","2016 Bowman Chrome (draft) autograph prospect Kyle Lewis","$49.99","Feb-11 18:53"
"131","(10) MICKEY MONIAK 2016 Bowman Chrome Draft ALL CHROME ROOKIE LOT $$$ Phillies","$30.00","Feb-11 18:52"
"132","IAN ANDERSON 2016 Bowman Chrome Draft BGS 9.5/10 Blue Refractor RC Auto #040/150","$99.99","Feb-11 18:52"
"133","Isan Diaz 2016 Bowman Chrome Blue Refractor Rookie RC Autograph Auto /150 Hot","$69.00","Feb-11 18:50"
"134","2016 Bowman Draft COLE RAGANS Gold Wave Refractor Auto /50 CDA-CR Rangers Chrome","$35.00","Feb-11 18:45"
"135","Alex Bregman 2016 Bowman Chrome Gold Refractor /50 PSA 9","$60.00","Feb-11 18:43"
"136","ALEX KIRILLOFF 2016 BOWMAN CHROME DRAFT AUTO TWINS AUTOGRAPH 1st CARD ROOKIE RC","$28.57","Feb-11 18:41"
"137","2016 Bowman Chrome Draft Green Refractors #BDC35 Joey Wentz #d /99","$1.95","Feb-11 18:41"
"138","2016 Bowman Chrome Draft Green Refractors #BDC49 Brett Adcock #d /99","$1.20","Feb-11 18:41"
"139","2016 Bowman Chrome Zach Collins AUTOGRAPH Rookie White Sox","$32.99","Feb-11 18:39"
"140","FRANCISCO MEJIA 2016 bowman chrome  #/150","$0.99","Feb-11 18:38"
"141","DYLAN CARLSON 2016 Bowman Chrome Autograph","$3.25","Feb-11 18:38"
"142","2016 BOWMAN CHROME GOLD REFRACTOR AUTO CAL QUANTRILL  /50","$74.99","Feb-11 18:37"
"143","2016 Bowman Chrome RED Refractor /5 #BCP94 JORGE MATEO New York Yankees NY","$24.50","Feb-11 18:35"
"144","2016 Bowman Chrome Anderson Espinoza 4/5 Red Refractor FBC Red Sox Rare!","$49.99","Feb-11 18:32"
"145","ANDREW BENINTENDI 2016 TOPPS PORTLAND SEA DOGS, BOWMAN ""CHROME"", & DRAFT DIF.!!!","$0.68","Feb-11 18:31"
"146","2016 Bowman Chrome Trea Turner Blue Refractor RC Rookie Auto # 112/150","$77.00","Feb-11 18:30"
"147","2016 Bowman Chrome Draft Draft Pick Autographs Refractors Jordan Sheffied /499","$5.95","Feb-11 18:30"
"148","2016 Bowman Draft Chrome ELOY JIMENEZ Chicago Cubs Refractor # BDC-191","$2.25","Feb-11 18:29"
"149","2015 Gary Sanchez Rookie RC 2016 Bowman Chrome Topps Chrome Card Lotx4 Yankees","$7.99","Feb-11 18:28"
"150","2016 Stephen Piscotty Bowman Chrome AUTO ROOKIE Autograph Rc St Louis Cardinals","$10.00","Feb-11 18:24"
"151","2016 Bowman Chrome Athletics AJ Puk 1st Bowman Auto Card w/ 4 Bonus Refractor","$12.55","Jan-29 20:19"
"152","Alex Kirilloff 2016 Bowman Draft Chrome Refractor Blue 58/150 Twins Non-Auto","$6.54","Jan-29 20:19"
"153","2016 Bowman chrome Prospects Rookie Cody Bellinger #182 - Dodgers","$4.36","Jan-29 20:18"
"154","2016 Bowman Chrome Athletics Daulton Jefferies Refractor & Base 1st Auto Card","$8.89","Jan-29 20:18"
"155","KYLE LEWIS 2016 BOWMAN DRAFT CHROME GOLD WAVE REFRACTOR AUTO SER#37/50","$275.00","Jan-29 20:17"
"156","2016 BOWMAN DRAFT DELVIN PEREZ CHROME BLACK REFRACTOR AUTO /75 CARDINALS","$170.00","Jan-29 20:15"
"157","2016 Bowman Chrome Refractor Gleyber Torres New York Yankees","$3.25","Jan-29 20:15"
"158","2016 Bowman Chrome Fantasy Impact Refractor Justin Dunn AUTO 4/50 Mets","$12.49","Jan-29 20:15"
"159","2016 Bowman Chrome Autograph Auto RC Victor Alcantara #VA - Angels","$1.76","Jan-29 20:15"
"160","2016 Bowman Chrome Gold Refractor Justin Dunn AUTO 1/50 New York Mets","$27.00","Jan-29 20:15"
"161","2016 Bowman Chrome Fantasy Impact Gold Refractor Zack Collins White Sox 26/50","$0.99","Jan-29 20:15"
"162","2016 BOWMAN CHROME VENDING BASEBALL BOX","$73.50","Jan-29 20:14"
"163","2016  Bowman Chrome  AMED ROSARIO   Purple Refractor  010/250","$4.25","Jan-29 20:12"
"164","2016 Bowman Chrome Royals Raul Mondesi Auto Refractor /499 & Johnny Damon Best","$3.34","Jan-29 20:05"
